sh-ship2, 2023-09-01T13:01:12.359945, 2023-09-17T13:01:12.359945, p-StartPort, p-DN, COMPLETED, 11889.500000
sh-ship2, 2023-09-17T13:01:12.359945, 2023-10-07T13:01:12.359945, p-DN, p-HP, COMPLETED, 37117.500000
sh-ship2, 2023-10-07T13:01:12.359945, 2023-10-11T13:01:12.359945, p-HP, p-StartPort, COMPLETED, 29788.500000
sh-ship2, 2023-10-11T13:01:12.359945, 2023-10-11T20:01:12.359945, p-StartPort, p-DN, COMPLETED, 11889.500000
sh-ship2, 2023-10-11T20:01:12.359945, 2023-10-12T01:01:12.359945, p-DN, p-HCM, COMPLETED, 15025.500000
sh-shiptest, 2023-09-02T16:06:02.676576, 2023-09-02T21:06:02.676576, p-StartPort, p-HCM, COMPLETED, 20801.000000
sh-shiptest, 2023-09-02T21:06:02.676576, 2023-09-03T04:06:02.676576, p-HCM, p-DN, COMPLETED, 19314.000000
sh-ship323, 2023-09-02T16:20:48.636034, 2023-09-02T23:20:48.636034, p-StartPort, p-DN, COMPLETED, 9215.000000
sh-shiptest1212, 2023-09-02T16:24:29.777771, 2023-09-02T23:24:29.777771, p-StartPort, p-DN, COMPLETED, 9215.000000
sh-popo, 2023-09-02T16:27:43.705338, 2023-09-03T02:27:43.705338, p-StartPort, p-KG, COMPLETED, 61219.000000
sh-popo, 2023-09-03T02:27:43.705338, 2023-09-03T09:27:43.705338, p-KG, p-DN, COMPLETED, 66941.000000
sh-shipcon1, 2023-09-02T16:33:34.617265, 2023-09-02T23:33:34.617265, p-StartPort, p-DN, COMPLETED, 11946.000000
sh-ship323, 2023-09-02T23:20:48.636034, 2023-09-03T02:20:48.636034, p-DN, p-StartPort, COMPLETED, 11945.500000
